184.105.139.67 - - [27/May/2015:06:09:28 +0000] "GET / HTTP/1.1" 200 11197
104.131.25.240 - - [27/May/2015:06:44:19 +0000] "GET / HTTP/1.1" 200 11197
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /docs/config/ HTTP/1.1" 404 975
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /docs/jndi-datasource-examples-howto.html HTTP/1.1" 404 1031
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /docs/ HTTP/1.1" 404 961
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /manager/status HTTP/1.1" 401 2474
104.131.25.240 - - [27/May/2015:06:44:37 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
104.131.25.240 - - [27/May/2015:06:44:38 +0000] "GET /examples/ HTTP/1.1" 404 969
64.14.99.254 - - [27/May/2015:08:31:02 +0000] "GET /admin/config.php HTTP/1.1" 404 983
