184.105.139.67 - - [21/Jun/2015:02:14:19 +0000] "GET / HTTP/1.1" 200 11197
43.229.25.185 - - [21/Jun/2015:18:28:09 +0000] "GET / HTTP/1.1" 200 11197
43.229.25.185 - - [21/Jun/2015:18:28:10 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
43.229.25.185 - - [21/Jun/2015:18:28:10 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
43.229.25.185 - - [21/Jun/2015:18:28:11 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
43.229.25.185 - - [21/Jun/2015:18:28:11 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
43.229.25.185 - - [21/Jun/2015:18:28:11 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
43.229.25.185 - - [21/Jun/2015:18:28:11 +0000] "GET /bg-button.png HTTP/1.1" 200 713
43.229.25.185 - - [21/Jun/2015:18:28:11 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
43.229.25.185 - - [21/Jun/2015:18:28:13 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
43.229.25.185 - - [21/Jun/2015:18:28:20 +0000] "GET /manager/status HTTP/1.1" 401 2474
