91.196.50.33 - - [13/Oct/2015:00:39:30 +0000] "GET /testproxy.php HTTP/1.1" 404 977
195.228.254.148 - - [13/Oct/2015:05:54:49 +0000] "GET /admin/config.php HTTP/1.1" 404 983
216.218.206.67 - - [13/Oct/2015:09:59:38 +0000] "GET / HTTP/1.1" 200 11197
59.97.78.50 - - [13/Oct/2015:12:39:40 +0000] "GET / HTTP/1.1" 200 11197
59.97.78.50 - - [13/Oct/2015:12:39:42 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
59.97.78.50 - - [13/Oct/2015:12:39:43 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
59.97.78.50 - - [13/Oct/2015:12:39:46 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
59.97.78.50 - - [13/Oct/2015:12:39:46 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
59.97.78.50 - - [13/Oct/2015:12:39:46 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
59.97.78.50 - - [13/Oct/2015:12:39:47 +0000] "GET /bg-button.png HTTP/1.1" 200 713
59.97.78.50 - - [13/Oct/2015:12:39:48 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
59.97.78.50 - - [13/Oct/2015:12:39:56 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
59.97.78.50 - - [13/Oct/2015:12:40:19 +0000] "GET / HTTP/1.1" 200 11197
59.97.78.50 - - [13/Oct/2015:12:40:21 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
59.97.78.50 - - [13/Oct/2015:12:40:21 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
59.97.78.50 - - [13/Oct/2015:12:40:22 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
59.97.78.50 - - [13/Oct/2015:12:40:22 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
59.97.78.50 - - [13/Oct/2015:12:40:23 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
59.97.78.50 - - [13/Oct/2015:12:40:23 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
59.97.78.50 - - [13/Oct/2015:12:40:23 +0000] "GET /bg-button.png HTTP/1.1" 200 713
59.97.78.50 - - [13/Oct/2015:12:40:24 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
54.251.186.152 - - [13/Oct/2015:13:31:16 +0000] "GET / HTTP/1.1" 200 11197
118.102.212.130 - - [13/Oct/2015:13:43:46 +0000] "GET / HTTP/1.1" 200 11197
118.102.212.130 - - [13/Oct/2015:13:43:47 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
118.102.212.130 - - [13/Oct/2015:13:43:48 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
118.102.212.130 - - [13/Oct/2015:13:43:49 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
118.102.212.130 - - [13/Oct/2015:13:43:49 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
118.102.212.130 - - [13/Oct/2015:13:43:50 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
118.102.212.130 - - [13/Oct/2015:13:43:51 +0000] "GET /bg-button.png HTTP/1.1" 200 713
118.102.212.130 - - [13/Oct/2015:13:43:51 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
107.150.55.27 - - [13/Oct/2015:15:10:45 +0000] "GET / HTTP/1.1" 200 11197
66.249.67.43 - - [13/Oct/2015:15:19:37 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.67.36 - - [13/Oct/2015:15:19:37 +0000] "GET / HTTP/1.1" 200 11197
66.249.67.43 - - [13/Oct/2015:15:21:29 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
141.212.122.144 - - [13/Oct/2015:15:51:55 +0000] "GET / HTTP/1.1" 200 11197
192.151.157.91 - - [13/Oct/2015:16:07:20 +0000] "GET / HTTP/1.1" 200 11197
159.203.106.17 - - [13/Oct/2015:17:44:34 +0000] "GET / HTTP/1.1" 200 11197
159.203.106.59 - - [13/Oct/2015:18:01:44 +0000] "GET / HTTP/1.1" 200 11197
104.236.221.49 - - [13/Oct/2015:18:10:19 +0000] "GET / HTTP/1.1" 200 11197
159.203.105.244 - - [13/Oct/2015:18:21:12 +0000] "GET / HTTP/1.1" 200 11197
173.44.134.140 - - [13/Oct/2015:19:11:33 +0000] "GET /networkmap/index.html HTTP/1.0" 404 993
173.44.134.140 - - [13/Oct/2015:19:25:57 +0000] "GET /networkmap/index.html HTTP/1.0" 404 993
66.249.67.183 - - [13/Oct/2015:21:09:15 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.67.165 - - [13/Oct/2015:21:09:16 +0000] "GET / HTTP/1.1" 200 11197
66.249.67.183 - - [13/Oct/2015:21:13:16 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
