199.115.117.88 - - [21/Nov/2015:01:41:42 +0000] "GET /_asterisk HTTP/1.1" 404 969
194.72.112.130 - - [21/Nov/2015:04:03:16 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:17 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:18 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:20 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:21 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:22 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:23 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:25 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:26 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:27 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:33 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:34 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:35 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:38 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:40 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:41 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:42 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:44 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:45 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:46 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:03:48 +0000] "GET /manager/html HTTP/1.1" 401 2474
