187.120.15.222 - - [06/Dec/2015:00:45:09 +0000] "GET /admin/config.php HTTP/1.1" 404 983
104.236.68.28 - - [06/Dec/2015:01:44:17 +0000] "HEAD / HTTP/1.1" 200 -
104.236.68.28 - - [06/Dec/2015:02:00:18 +0000] "GET / HTTP/1.1" 200 11197
104.236.68.28 - - [06/Dec/2015:02:08:58 +0000] "GET / HTTP/1.1" 200 11197
104.236.68.28 - - [06/Dec/2015:02:17:19 +0000] "GET /index.htm HTTP/1.0" 404 969
45.55.225.47 - - [06/Dec/2015:02:44:13 +0000] "HEAD / HTTP/1.1" 200 -
159.203.80.248 - - [06/Dec/2015:02:47:28 +0000] "HEAD / HTTP/1.1" 200 -
45.55.225.47 - - [06/Dec/2015:02:56:38 +0000] "GET / HTTP/1.1" 200 11197
159.203.80.248 - - [06/Dec/2015:03:00:50 +0000] "GET / HTTP/1.1" 200 11197
45.55.225.47 - - [06/Dec/2015:03:05:11 +0000] "GET / HTTP/1.1" 200 11197
159.203.80.248 - - [06/Dec/2015:03:09:05 +0000] "GET / HTTP/1.1" 200 11197
45.55.225.47 - - [06/Dec/2015:03:13:18 +0000] "GET /index.htm HTTP/1.0" 404 969
159.203.80.248 - - [06/Dec/2015:03:16:57 +0000] "GET /index.htm HTTP/1.0" 404 969
74.82.47.4 - - [06/Dec/2015:03:59:02 +0000] "GET / HTTP/1.1" 200 11197
188.72.116.28 - - [06/Dec/2015:09:24:36 +0000] "GET / HTTP/1.1" 200 11197
188.72.116.28 - - [06/Dec/2015:09:24:37 +0000] "GET /HNAP1/ HTTP/1.1" 404 963
91.196.50.33 - - [06/Dec/2015:10:22:44 +0000] "GET /testproxy.php HTTP/1.1" 404 977
182.64.144.217 - - [06/Dec/2015:10:36:03 +0000] "GET / HTTP/1.1" 200 11217
185.25.151.159 - - [06/Dec/2015:11:35:08 +0000] "GET /testproxy.php HTTP/1.1" 404 977
185.25.151.159 - - [06/Dec/2015:14:08:05 +0000] "GET /testproxy.php HTTP/1.1" 404 977
61.178.90.193 - - [06/Dec/2015:14:53:04 +0000] "POST /loginUI.action HTTP/1.1" 404 979
167.88.10.195 - - [06/Dec/2015:15:35:58 +0000] "GET / HTTP/1.1" 200 11197
66.249.64.84 - - [06/Dec/2015:18:19:39 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.64.84 - - [06/Dec/2015:18:19:39 +0000] "GET / HTTP/1.1" 200 11197
66.249.64.74 - - [06/Dec/2015:18:19:49 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
185.25.151.159 - - [06/Dec/2015:21:09:20 +0000] "GET /testproxy.php HTTP/1.1" 404 977
