104.131.54.20 - - [09/Dec/2015:01:02:16 +0000] "HEAD / HTTP/1.0" 200 -
185.25.148.240 - - [09/Dec/2015:01:14:18 +0000] "GET /testproxy.php HTTP/1.1" 404 977
192.129.227.26 - - [09/Dec/2015:03:19:11 +0000] "GET /pma/scripts/setup.php HTTP/1.1" 404 993
107.150.55.54 - - [09/Dec/2015:03:44:35 +0000] "GET / HTTP/1.1" 200 11197
185.25.151.159 - - [09/Dec/2015:06:18:46 +0000] "GET /testproxy.php HTTP/1.1" 404 977
124.253.158.221 - - [09/Dec/2015:06:56:56 +0000] "GET / HTTP/1.1" 200 11197
124.253.158.221 - - [09/Dec/2015:06:56:57 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
124.253.158.221 - - [09/Dec/2015:06:56:57 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
124.253.158.221 - - [09/Dec/2015:06:56:58 +0000] "GET /bg-button.png HTTP/1.1" 200 713
124.253.158.221 - - [09/Dec/2015:06:56:58 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
124.253.158.221 - - [09/Dec/2015:06:56:58 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
124.253.158.221 - - [09/Dec/2015:06:56:58 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
124.253.158.221 - - [09/Dec/2015:06:56:59 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
124.253.158.221 - - [09/Dec/2015:06:56:59 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
124.253.158.221 - - [09/Dec/2015:07:02:02 +0000] "GET / HTTP/1.1" 200 11197
124.253.158.221 - - [09/Dec/2015:07:03:15 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
141.212.121.176 - - [09/Dec/2015:10:37:31 +0000] "GET / HTTP/1.1" 200 11197
137.226.113.7 - - [09/Dec/2015:10:44:59 +0000] "GET / HTTP/1.1" 200 11197
74.82.47.2 - - [09/Dec/2015:11:37:24 +0000] "GET / HTTP/1.1" 200 11197
182.64.147.18 - - [09/Dec/2015:11:48:55 +0000] "GET / HTTP/1.1" 200 11217
182.64.147.18 - - [09/Dec/2015:11:48:56 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.64.147.18 - - [09/Dec/2015:11:48:56 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.64.147.18 - - [09/Dec/2015:11:48:56 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.64.147.18 - - [09/Dec/2015:11:48:56 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.64.147.18 - - [09/Dec/2015:11:48:57 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.64.147.18 - - [09/Dec/2015:11:48:57 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.64.147.18 - - [09/Dec/2015:11:48:57 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
182.64.147.18 - - [09/Dec/2015:11:48:58 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.64.147.18 - - [09/Dec/2015:11:59:40 +0000] "GET /manager/html HTTP/1.1" 401 2486
182.64.147.18 - admin [09/Dec/2015:11:59:43 +0000] "GET /manager/html HTTP/1.1" 200 27465
182.64.147.18 - admin [09/Dec/2015:11:59:48 +0000] "POST /manager/html/start?path=/learn&org.apache.catalina.filters.CSRF_NONCE=CC32C9298A6E7A4C1B2C9F102683F27D HTTP/1.1" 200 27696
69.89.14.35 - - [09/Dec/2015:12:00:04 +0000] "GET / HTTP/1.1" 200 11197
182.64.147.18 - - [09/Dec/2015:12:04:25 +0000] "GET / HTTP/1.1" 200 11217
182.64.147.18 - - [09/Dec/2015:12:04:25 +0000] "GET / HTTP/1.1" 200 11217
182.64.147.18 - - [09/Dec/2015:12:08:33 +0000] "GET / HTTP/1.1" 200 11217
182.64.147.18 - - [09/Dec/2015:12:08:33 +0000] "GET / HTTP/1.1" 200 11217
182.64.147.18 - admin [09/Dec/2015:12:09:00 +0000] "GET /manager/html HTTP/1.1" 200 28013
59.67.153.212 - - [09/Dec/2015:13:00:22 +0000] "POST /getNews.action HTTP/1.1" 404 979
94.185.83.100 - - [09/Dec/2015:14:30:04 +0000] "GET /testproxy.php HTTP/1.1" 404 977
185.35.62.11 - - [09/Dec/2015:14:31:48 +0000] "GET / HTTP/1.1" 200 11197
52.35.196.132 - - [09/Dec/2015:15:34:17 +0000] "GET / HTTP/1.1" 200 11197
54.153.33.233 - - [09/Dec/2015:15:35:10 +0000] "GET / HTTP/1.1" 200 11197
45.55.68.0 - - [09/Dec/2015:19:15:56 +0000] "GET / HTTP/1.0" 200 11197
140.131.115.44 - - [09/Dec/2015:19:32:47 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1007
140.131.115.44 - - [09/Dec/2015:19:32:47 +0000] "GET /pma/scripts/setup.php HTTP/1.1" 404 993
91.196.50.33 - - [09/Dec/2015:21:47:33 +0000] "GET /testproxy.php HTTP/1.1" 404 977
