137.116.71.170 - - [29/Dec/2015:01:47:33 +0000] "GET /robots.txt HTTP/1.1" 404 971
76.164.202.157 - - [29/Dec/2015:05:00:40 +0000] "GET / HTTP/1.1" 200 11197
190.214.21.185 - - [29/Dec/2015:06:57:22 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1007
190.214.21.185 - - [29/Dec/2015:06:57:22 +0000] "GET /pma/scripts/setup.php HTTP/1.1" 404 993
182.77.32.10 - - [29/Dec/2015:09:21:15 +0000] "GET / HTTP/1.1" 200 11197
182.77.32.10 - - [29/Dec/2015:09:21:15 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.77.32.10 - - [29/Dec/2015:09:21:15 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.77.32.10 - - [29/Dec/2015:09:21:16 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.77.32.10 - - [29/Dec/2015:09:21:16 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.77.32.10 - - [29/Dec/2015:09:21:16 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.77.32.10 - - [29/Dec/2015:09:21:16 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.77.32.10 - - [29/Dec/2015:09:21:16 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.77.32.10 - - [29/Dec/2015:09:21:16 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
182.77.32.10 - - [29/Dec/2015:09:21:41 +0000] "GET / HTTP/1.1" 200 11197
182.77.32.10 - - [29/Dec/2015:09:21:42 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.77.32.10 - - [29/Dec/2015:09:21:42 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.77.32.10 - - [29/Dec/2015:09:21:43 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
182.77.32.10 - - [29/Dec/2015:09:21:43 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.77.32.10 - - [29/Dec/2015:09:21:43 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.77.32.10 - - [29/Dec/2015:09:21:43 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.77.32.10 - - [29/Dec/2015:09:21:43 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.77.32.10 - - [29/Dec/2015:09:21:43 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.77.32.10 - - [29/Dec/2015:09:23:00 +0000] "GET / HTTP/1.1" 200 11197
188.95.104.14 - - [29/Dec/2015:09:56:57 +0000] "CONNECT / HTTP/1.1" 200 11197
74.82.47.2 - - [29/Dec/2015:10:08:16 +0000] "GET / HTTP/1.1" 200 11197
185.25.151.159 - - [29/Dec/2015:10:56:51 +0000] "GET /testproxy.php HTTP/1.1" 404 977
188.95.104.14 - - [29/Dec/2015:11:51:00 +0000] "GET / HTTP/1.1" 200 11197
141.212.121.176 - - [29/Dec/2015:12:15:33 +0000] "GET / HTTP/1.1" 200 11197
61.216.2.14 - - [29/Dec/2015:14:58:08 +0000] "POST /404 HTTP/1.1" 404 957
91.196.50.33 - - [29/Dec/2015:20:07:55 +0000] "GET /testproxy.php HTTP/1.1" 404 977
