103.5.182.22 - - [22/Jan/2016:01:26:54 +0000] "GET /cgi-bin/test-cgi HTTP/1.1" 404 983
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET / HTTP/1.1" 200 11197
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
107.167.109.37 - - [22/Jan/2016:02:47:01 +0000] "GET /bg-button.png HTTP/1.1" 200 713
216.218.206.68 - - [22/Jan/2016:03:15:35 +0000] "GET / HTTP/1.1" 200 11197
91.196.50.33 - - [22/Jan/2016:04:25:20 +0000] "GET /testproxy.php HTTP/1.1" 404 977
66.249.64.193 - - [22/Jan/2016:04:34:22 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.64.188 - - [22/Jan/2016:04:34:22 +0000] "GET / HTTP/1.1" 200 11197
66.249.64.198 - - [22/Jan/2016:04:34:32 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
66.249.64.198 - - [22/Jan/2016:04:37:49 +0000] "GET /manager/html HTTP/1.1" 401 2474
121.241.96.5 - - [22/Jan/2016:05:50:55 +0000] "GET /images/favicon.ico HTTP/1.1" 404 987
69.89.14.35 - - [22/Jan/2016:05:54:13 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:05:54:32 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:05:54:58 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:05:55:35 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:08:34 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:08:37 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:08:39 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:08:43 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:08:52 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:09:06 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:09:09 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:09:10 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:09:57 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:12:18 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:15:06 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:26:37 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:27:31 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:27:41 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:28:55 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jan/2016:06:29:45 +0000] "GET / HTTP/1.1" 200 11197
103.245.34.252 - - [22/Jan/2016:06:32:37 +0000] "GET / HTTP/1.1" 200 11197
103.245.34.252 - - [22/Jan/2016:06:32:38 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
115.112.99.250 - - [22/Jan/2016:06:32:38 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
103.245.34.252 - - [22/Jan/2016:06:32:39 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
103.245.34.252 - - [22/Jan/2016:06:32:39 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
115.112.99.250 - - [22/Jan/2016:06:32:39 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
