185.130.5.247 - - [25/Jan/2016:00:13:08 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1007
185.25.151.159 - - [25/Jan/2016:01:09:04 +0000] "GET /testproxy.php HTTP/1.1" 404 977
87.117.193.75 - - [25/Jan/2016:02:35:11 +0000] "GET /CFIDE/administrator/ HTTP/1.1" 404 991
184.105.247.195 - - [25/Jan/2016:05:07:06 +0000] "GET / HTTP/1.1" 200 11197
66.249.69.64 - - [25/Jan/2016:05:52:04 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.69.56 - - [25/Jan/2016:05:52:04 +0000] "GET / HTTP/1.1" 200 11197
182.118.54.64 - - [25/Jan/2016:07:10:10 +0000] "GET / HTTP/1.1" 200 11197
182.64.177.111 - - [25/Jan/2016:09:27:38 +0000] "GET / HTTP/1.1" 200 11197
182.64.177.111 - - [25/Jan/2016:09:27:39 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.64.177.111 - - [25/Jan/2016:09:27:39 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.64.177.111 - - [25/Jan/2016:09:27:39 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.64.177.111 - - [25/Jan/2016:09:27:39 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.64.177.111 - - [25/Jan/2016:09:27:39 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.64.177.111 - - [25/Jan/2016:09:27:39 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.64.177.111 - - [25/Jan/2016:09:27:39 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.64.177.111 - - [25/Jan/2016:09:27:51 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
94.185.83.100 - - [25/Jan/2016:11:54:40 +0000] "GET /testproxy.php HTTP/1.1" 404 977
69.89.14.35 - - [25/Jan/2016:12:41:39 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:42:09 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:43:02 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:43:16 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:43:17 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:44:45 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:44:47 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:45:15 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [25/Jan/2016:12:46:00 +0000] "GET / HTTP/1.1" 200 11197
204.101.161.159 - - [25/Jan/2016:15:14:10 +0000] "GET / HTTP/1.1" 200 11197
208.91.115.10 - - [25/Jan/2016:15:14:10 +0000] "GET / HTTP/1.1" 200 11197
208.91.115.10 - - [25/Jan/2016:15:14:11 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
208.91.115.10 - - [25/Jan/2016:17:08:25 +0000] "HEAD / HTTP/1.1" 200 -
66.249.79.62 - - [25/Jan/2016:18:00:51 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.79.64 - - [25/Jan/2016:18:00:52 +0000] "GET / HTTP/1.1" 200 11197
66.249.79.62 - - [25/Jan/2016:18:01:38 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
208.91.115.10 - - [25/Jan/2016:18:24:01 +0000] "HEAD / HTTP/1.1" 200 -
66.249.74.99 - - [25/Jan/2016:19:35:37 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.74.101 - - [25/Jan/2016:19:35:38 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
91.196.50.33 - - [25/Jan/2016:20:16:27 +0000] "GET /testproxy.php HTTP/1.1" 404 977
51.254.126.82 - - [25/Jan/2016:23:46:28 +0000] "GET / HTTP/1.0" 200 11197
51.254.126.82 - - [25/Jan/2016:23:46:28 +0000] "GET / HTTP/1.1" 200 11197
51.254.126.82 - - [25/Jan/2016:23:46:29 +0000] "GET / HTTP/1.0" 200 11197
51.254.126.82 - - [25/Jan/2016:23:46:29 +0000] "GET / HTTP/1.1" 200 11197
