80.82.78.38 - - [16/Apr/2016:01:17:30 +0000] "GET /cache/global/img/gs.gif HTTP/1.1" 404 997
118.97.9.2 - - [16/Apr/2016:04:49:08 +0000] "CONNECT / HTTP/1.1" 200 11197
66.249.69.66 - - [16/Apr/2016:06:42:39 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.69.66 - - [16/Apr/2016:06:42:39 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
210.242.49.110 - - [16/Apr/2016:08:27:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
210.242.49.110 - - [16/Apr/2016:08:27:57 +0000] "GET /manager/html HTTP/1.1" 401 2486
74.82.47.4 - - [16/Apr/2016:08:40:34 +0000] "GET / HTTP/1.1" 200 11197
66.249.69.48 - - [16/Apr/2016:09:55:21 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.69.48 - - [16/Apr/2016:09:55:21 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
37.233.101.128 - - [16/Apr/2016:11:23:33 +0000] "GET /testproxy.php HTTP/1.1" 404 977
141.212.122.209 - - [16/Apr/2016:13:58:03 +0000] "GET / HTTP/1.1" 200 11197
185.25.151.159 - - [16/Apr/2016:19:31:23 +0000] "GET /testproxy.php HTTP/1.1" 404 977
5.39.222.159 - - [16/Apr/2016:20:52:54 +0000] "GET / HTTP/1.1" 200 11197
