192.200.220.58 - - [29/Jun/2016:02:37:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
182.64.163.98 - - [29/Jun/2016:03:52:51 +0000] "GET / HTTP/1.1" 200 11197
182.64.163.98 - - [29/Jun/2016:03:52:56 +0000] "GET /tomcat.css HTTP/1.1" 304 -
182.64.163.98 - - [29/Jun/2016:03:52:56 +0000] "GET /favicon.ico HTTP/1.1" 304 -
182.64.163.98 - - [29/Jun/2016:03:52:56 +0000] "GET /tomcat.png HTTP/1.1" 304 -
182.64.163.98 - - [29/Jun/2016:03:52:56 +0000] "GET /bg-nav.png HTTP/1.1" 304 -
182.64.163.98 - - [29/Jun/2016:03:52:57 +0000] "GET /asf-logo.png HTTP/1.1" 304 -
182.64.163.98 - - [29/Jun/2016:03:52:57 +0000] "GET /bg-upper.png HTTP/1.1" 304 -
182.64.163.98 - - [29/Jun/2016:03:52:57 +0000] "GET /bg-button.png HTTP/1.1" 304 -
182.64.163.98 - - [29/Jun/2016:03:52:57 +0000] "GET /bg-middle.png HTTP/1.1" 304 -
195.39.212.254 - - [29/Jun/2016:04:09:59 +0000] "GET /admin/config.php HTTP/1.1" 404 983
91.196.50.33 - - [29/Jun/2016:05:23:18 +0000] "GET /testproxy.php HTTP/1.1" 404 977
182.64.160.219 - - [29/Jun/2016:06:13:39 +0000] "GET / HTTP/1.1" 200 11197
182.64.160.219 - - [29/Jun/2016:06:13:40 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.64.160.219 - - [29/Jun/2016:06:13:40 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.64.160.219 - - [29/Jun/2016:06:13:40 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.64.160.219 - - [29/Jun/2016:06:13:40 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.64.160.219 - - [29/Jun/2016:06:13:40 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.64.160.219 - - [29/Jun/2016:06:13:40 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.64.160.219 - - [29/Jun/2016:06:13:40 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.64.160.219 - - [29/Jun/2016:06:13:41 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
184.105.247.196 - - [29/Jun/2016:11:24:31 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [29/Jun/2016:13:33:10 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [29/Jun/2016:13:33:16 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [29/Jun/2016:13:33:55 +0000] "GET / HTTP/1.1" 200 11197
185.49.14.190 - - [29/Jun/2016:18:12:38 +0000] "GET /testproxy.php HTTP/1.1" 404 977
141.212.122.161 - - [29/Jun/2016:22:46:19 +0000] "GET / HTTP/1.1" 200 11197
