195.114.210.106 - - [05/Jul/2016:00:21:43 +0000] "GET /admin/config.php HTTP/1.1" 404 983
91.196.50.33 - - [05/Jul/2016:01:33:14 +0000] "GET /testproxy.php HTTP/1.1" 404 977
184.105.247.196 - - [05/Jul/2016:01:39:27 +0000] "GET / HTTP/1.1" 200 11197
66.249.66.182 - - [05/Jul/2016:03:09:00 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.66.182 - - [05/Jul/2016:03:09:00 +0000] "GET / HTTP/1.1" 200 11197
66.249.66.176 - - [05/Jul/2016:03:19:40 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
66.249.66.159 - - [05/Jul/2016:03:38:49 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.66.163 - - [05/Jul/2016:03:38:49 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [05/Jul/2016:03:39:26 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [05/Jul/2016:03:45:14 +0000] "GET / HTTP/1.1" 200 11197
96.230.48.4 - - [05/Jul/2016:06:52:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
96.230.48.4 - - [05/Jul/2016:06:52:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
