91.196.50.33 - - [22/Jul/2016:00:07:27 +0000] "GET /testproxy.php HTTP/1.1" 404 977
184.105.139.68 - - [22/Jul/2016:01:49:31 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:03:36:20 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:03:44:13 +0000] "GET / HTTP/1.1" 200 11197
82.221.105.6 - - [22/Jul/2016:04:02:55 +0000] "GET / HTTP/1.1" 200 11197
82.221.105.6 - - [22/Jul/2016:04:02:55 +0000] "GET /robots.txt HTTP/1.1" 404 971
82.221.105.6 - - [22/Jul/2016:04:02:56 +0000] "GET /sitemap.xml HTTP/1.1" 404 973
122.162.38.128 - - [22/Jul/2016:06:16:26 +0000] "GET / HTTP/1.1" 200 11197
122.162.38.128 - - [22/Jul/2016:06:16:48 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
122.162.38.128 - - [22/Jul/2016:06:16:50 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
122.162.38.128 - - [22/Jul/2016:06:16:53 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
122.162.38.128 - - [22/Jul/2016:06:16:53 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
122.162.38.128 - - [22/Jul/2016:06:16:55 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
122.162.38.128 - - [22/Jul/2016:06:16:55 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
122.162.38.128 - - [22/Jul/2016:06:16:56 +0000] "GET /bg-button.png HTTP/1.1" 200 713
122.162.38.128 - - [22/Jul/2016:06:17:05 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
69.89.14.35 - - [22/Jul/2016:07:55:55 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:07:55:58 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:08:01:46 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:08:02:29 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:09:18:41 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:09:24:44 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:09:24:44 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:09:25:35 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:09:26:00 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:10:12:28 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:10:15:00 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:11:39:16 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [22/Jul/2016:11:40:25 +0000] "GET / HTTP/1.1" 200 11197
