178.18.249.45 - - [31/Jul/2016:00:38:51 +0000] "GET /etc/lib/pChart2/examples/imageMap/index.php HTTP/1.1" 404 1037
185.25.151.159 - - [31/Jul/2016:01:01:52 +0000] "GET /testproxy.php HTTP/1.1" 404 977
201.145.107.35 - - [31/Jul/2016:03:42:40 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1007
201.145.107.35 - - [31/Jul/2016:03:42:40 +0000] "GET /pma/scripts/setup.php HTTP/1.1" 404 993
213.42.95.134 - - [31/Jul/2016:04:27:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:43 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:43 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:44 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:44 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:45 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:48 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:49 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:49 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:50 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:50 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:51 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:27:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
