121.201.98.52 - - [12/Oct/2016:05:58:42 +0000] "GET /phpMyAdmin HTTP/1.1" 404 971
198.204.240.222 - - [12/Oct/2016:07:03:21 +0000] "GET / HTTP/1.1" 200 11197
182.69.94.135 - - [12/Oct/2016:07:29:38 +0000] "GET / HTTP/1.1" 200 11197
182.69.94.135 - - [12/Oct/2016:07:29:39 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.69.94.135 - - [12/Oct/2016:07:29:39 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.69.94.135 - - [12/Oct/2016:07:29:40 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.69.94.135 - - [12/Oct/2016:07:29:40 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.69.94.135 - - [12/Oct/2016:07:29:40 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.69.94.135 - - [12/Oct/2016:07:29:40 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.69.94.135 - - [12/Oct/2016:07:29:40 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.69.94.135 - - [12/Oct/2016:07:29:41 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
185.49.14.190 - - [12/Oct/2016:09:22:49 +0000] "GET /testproxy.php HTTP/1.1" 404 977
74.82.47.3 - - [12/Oct/2016:11:02:22 +0000] "GET / HTTP/1.1" 200 11197
122.155.168.168 - - [12/Oct/2016:14:11:55 +0000] "GET / HTTP/1.1" 200 11197
159.203.161.128 - - [12/Oct/2016:15:48:11 +0000] "HEAD / HTTP/1.1" 200 -
159.203.161.128 - - [12/Oct/2016:16:03:09 +0000] "GET / HTTP/1.1" 200 11197
159.203.161.128 - - [12/Oct/2016:16:13:18 +0000] "GET / HTTP/1.1" 200 11197
159.203.161.128 - - [12/Oct/2016:16:23:01 +0000] "GET /index.htm HTTP/1.0" 404 969
104.236.18.117 - - [12/Oct/2016:17:33:09 +0000] "HEAD / HTTP/1.1" 200 -
159.203.161.66 - - [12/Oct/2016:19:09:10 +0000] "HEAD / HTTP/1.1" 200 -
159.203.161.66 - - [12/Oct/2016:19:27:28 +0000] "GET / HTTP/1.1" 200 11197
159.203.161.66 - - [12/Oct/2016:19:37:36 +0000] "GET / HTTP/1.1" 200 11197
45.55.87.121 - - [12/Oct/2016:19:39:24 +0000] "HEAD / HTTP/1.1" 200 -
159.203.161.66 - - [12/Oct/2016:19:47:17 +0000] "GET /index.htm HTTP/1.0" 404 969
45.55.87.121 - - [12/Oct/2016:19:54:39 +0000] "GET / HTTP/1.1" 200 11197
45.55.87.121 - - [12/Oct/2016:20:05:05 +0000] "GET / HTTP/1.1" 200 11197
45.55.87.121 - - [12/Oct/2016:20:15:03 +0000] "GET /index.htm HTTP/1.0" 404 969
78.47.76.214 - - [12/Oct/2016:21:15:07 +0000] "GET /index.php HTTP/1.1" 404 969
78.47.76.214 - - [12/Oct/2016:21:15:07 +0000] "GET /zabbix//index.php HTTP/1.1" 404 985
104.236.219.49 - - [12/Oct/2016:22:21:34 +0000] "HEAD / HTTP/1.1" 200 -
185.25.151.159 - - [12/Oct/2016:22:31:55 +0000] "GET /testproxy.php HTTP/1.1" 404 977
104.236.219.49 - - [12/Oct/2016:22:40:00 +0000] "GET / HTTP/1.1" 200 11197
104.236.219.49 - - [12/Oct/2016:22:50:10 +0000] "GET / HTTP/1.1" 200 11197
104.236.219.49 - - [12/Oct/2016:22:59:59 +0000] "GET /index.htm HTTP/1.0" 404 969
