91.196.50.33 - - [17/Dec/2016:00:12:08 +0000] "GET /testproxy.php HTTP/1.1" 404 977
64.16.214.12 - - [17/Dec/2016:01:24:21 +0000] "HEAD / HTTP/1.1" 200 -
122.162.63.176 - - [17/Dec/2016:05:04:03 +0000] "GET / HTTP/1.1" 200 11197
122.162.63.176 - - [17/Dec/2016:05:04:04 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
122.162.63.176 - - [17/Dec/2016:05:04:04 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
122.162.63.176 - - [17/Dec/2016:05:04:04 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
122.162.63.176 - - [17/Dec/2016:05:04:04 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
122.162.63.176 - - [17/Dec/2016:05:04:04 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
122.162.63.176 - - [17/Dec/2016:05:04:04 +0000] "GET /bg-button.png HTTP/1.1" 200 713
122.162.63.176 - - [17/Dec/2016:05:04:04 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
54.179.75.178 - - [17/Dec/2016:05:04:05 +0000] "GET / HTTP/1.1" 200 11197
122.162.63.176 - - [17/Dec/2016:05:04:05 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
54.179.75.178 - - [17/Dec/2016:05:04:05 +0000] "GET /docs/ HTTP/1.1" 404 961
54.254.32.126 - - [17/Dec/2016:05:04:05 +0000] "GET / HTTP/1.1" 200 11197
54.179.75.178 - - [17/Dec/2016:05:04:06 +0000] "GET /examples/ HTTP/1.1" 404 969
54.254.32.126 - - [17/Dec/2016:05:04:06 +0000] "GET /docs/ HTTP/1.1" 404 961
54.179.75.178 - - [17/Dec/2016:05:04:06 +0000] "GET /docs/config/ HTTP/1.1" 404 975
54.254.32.126 - - [17/Dec/2016:05:04:06 +0000] "GET /examples/ HTTP/1.1" 404 969
54.179.75.178 - - [17/Dec/2016:05:04:07 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
54.254.32.126 - - [17/Dec/2016:05:04:07 +0000] "GET /docs/config/ HTTP/1.1" 404 975
54.179.75.178 - - [17/Dec/2016:05:04:07 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
54.254.32.126 - - [17/Dec/2016:05:04:07 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
54.179.75.178 - - [17/Dec/2016:05:04:08 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
54.254.32.126 - - [17/Dec/2016:05:04:08 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
