54.193.56.122 - - [31/Jan/2017:04:26:27 +0000] "GET / HTTP/1.1" 200 11197
91.196.50.33 - - [31/Jan/2017:05:24:49 +0000] "GET /testproxy.php HTTP/1.1" 404 977
122.180.188.21 - - [31/Jan/2017:07:02:16 +0000] "GET / HTTP/1.1" 200 11197
122.180.188.21 - - [31/Jan/2017:07:02:16 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
122.180.188.21 - - [31/Jan/2017:07:02:16 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
54.179.75.178 - - [31/Jan/2017:07:02:16 +0000] "GET / HTTP/1.1" 200 11197
54.179.75.178 - - [31/Jan/2017:07:02:16 +0000] "GET / HTTP/1.1" 200 11197
122.180.188.21 - - [31/Jan/2017:07:02:17 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
122.180.188.21 - - [31/Jan/2017:07:02:17 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
122.180.188.21 - - [31/Jan/2017:07:02:17 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
122.180.188.21 - - [31/Jan/2017:07:02:17 +0000] "GET /bg-button.png HTTP/1.1" 200 713
122.180.188.21 - - [31/Jan/2017:07:02:17 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
54.179.75.178 - - [31/Jan/2017:07:02:17 +0000] "GET /docs/ HTTP/1.1" 404 961
54.179.75.178 - - [31/Jan/2017:07:02:17 +0000] "GET /docs/ HTTP/1.1" 404 961
54.179.75.178 - - [31/Jan/2017:07:02:17 +0000] "GET /examples/ HTTP/1.1" 404 969
54.179.75.178 - - [31/Jan/2017:07:02:17 +0000] "GET /examples/ HTTP/1.1" 404 969
122.180.188.21 - - [31/Jan/2017:07:02:18 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
54.179.75.178 - - [31/Jan/2017:07:02:18 +0000] "GET /docs/config/ HTTP/1.1" 404 975
54.179.75.178 - - [31/Jan/2017:07:02:18 +0000] "GET /docs/config/ HTTP/1.1" 404 975
54.179.75.178 - - [31/Jan/2017:07:02:18 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
54.179.75.178 - - [31/Jan/2017:07:02:18 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
54.179.75.178 - - [31/Jan/2017:07:02:19 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
