93.189.26.18 - - [04/Feb/2017:04:15:29 +0000] "GET /a HTTP/1.1" 404 953
139.162.106.178 - - [04/Feb/2017:08:33:50 +0000] "GET / HTTP/1.1" 200 11197
66.249.69.158 - - [04/Feb/2017:09:07:58 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.69.164 - - [04/Feb/2017:09:07:58 +0000] "GET / HTTP/1.1" 200 11197
66.249.69.164 - - [04/Feb/2017:09:07:59 +0000] "GET / HTTP/1.1" 200 11197
66.249.69.164 - - [04/Feb/2017:09:08:06 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
66.249.69.161 - - [04/Feb/2017:09:08:37 +0000] "GET /docs/ HTTP/1.1" 404 961
66.249.69.161 - - [04/Feb/2017:09:08:38 +0000] "GET /examples/ HTTP/1.1" 404 969
66.249.69.161 - - [04/Feb/2017:09:08:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
66.249.69.158 - - [04/Feb/2017:09:08:40 +0000] "GET /manager/status HTTP/1.1" 401 2474
66.249.69.158 - - [04/Feb/2017:09:08:41 +0000] "GET /docs/setup.html HTTP/1.1" 404 981
66.249.69.164 - - [04/Feb/2017:09:15:08 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
66.249.69.158 - - [04/Feb/2017:09:15:33 +0000] "GET /docs/changelog.html HTTP/1.1" 404 989
66.249.69.158 - - [04/Feb/2017:09:15:58 +0000] "GET /docs/realm-howto.html HTTP/1.1" 404 993
66.249.69.158 - - [04/Feb/2017:09:16:24 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
66.249.69.161 - - [04/Feb/2017:09:16:52 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
66.249.69.164 - - [04/Feb/2017:09:17:22 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
66.249.75.154 - - [04/Feb/2017:10:12:03 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.75.146 - - [04/Feb/2017:10:12:03 +0000] "GET / HTTP/1.1" 200 11197
66.249.75.150 - - [04/Feb/2017:10:12:11 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
66.249.75.146 - - [04/Feb/2017:10:14:00 +0000] "GET /docs/deployer-howto.html HTTP/1.1" 404 999
66.249.75.146 - - [04/Feb/2017:10:14:07 +0000] "GET /docs/ HTTP/1.1" 404 961
66.249.75.146 - - [04/Feb/2017:10:14:14 +0000] "GET /examples/ HTTP/1.1" 404 969
66.249.75.146 - - [04/Feb/2017:10:14:22 +0000] "GET /manager/html HTTP/1.1" 401 2474
66.249.75.146 - - [04/Feb/2017:10:14:30 +0000] "GET /manager/status HTTP/1.1" 401 2474
66.249.75.146 - - [04/Feb/2017:10:14:38 +0000] "GET /docs/setup.html HTTP/1.1" 404 981
66.249.75.146 - - [04/Feb/2017:10:14:47 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
66.249.75.150 - - [04/Feb/2017:10:15:01 +0000] "GET /docs/changelog.html HTTP/1.1" 404 989
66.249.75.146 - - [04/Feb/2017:10:15:18 +0000] "GET /docs/realm-howto.html HTTP/1.1" 404 993
66.249.75.146 - - [04/Feb/2017:10:15:36 +0000] "GET /docs/RELEASE-NOTES.txt HTTP/1.1" 404 995
66.249.75.146 - - [04/Feb/2017:10:15:53 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
66.249.75.150 - - [04/Feb/2017:10:16:11 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
66.249.75.146 - - [04/Feb/2017:10:16:27 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
66.249.75.146 - - [04/Feb/2017:10:16:46 +0000] "GET /docs/jndi-datasource-examples-howto.html HTTP/1.1" 404 1031
