91.196.50.33 - - [21/Mar/2017:04:34:51 +0000] "GET /testproxy.php HTTP/1.1" 404 977
182.69.41.211 - - [21/Mar/2017:05:42:44 +0000] "GET /client HTTP/1.1" 302 -
94.177.226.147 - - [21/Mar/2017:07:19:09 +0000] "GET /admin/i18n/readme.txt HTTP/1.1" 404 993
23.247.88.83 - - [21/Mar/2017:12:11:30 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [21/Mar/2017:13:35:21 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [21/Mar/2017:13:37:10 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:40 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:45 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /login.html HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /properties/description.dhtml HTTP/1.1" 404 1007
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /properties/configuration.php?tab=Status HTTP/1.1" 404 1007
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /header.php?tab=status HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /login.html HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /properties/description.dhtml HTTP/1.1" 404 1007
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /properties/configuration.php?tab=Status HTTP/1.1" 404 1007
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /intruvert/jsp/admin/Login.jsp HTTP/1.1" 404 1009
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /header.php?tab=status HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /intruvert/jsp/admin/Login.jsp HTTP/1.1" 404 1009
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /ControlManager/default.htm HTTP/1.1" 404 1003
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /MSWSMTP/Common/Authentication/Logon.aspx HTTP/1.1" 404 1031
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /Home.do HTTP/1.1" 404 965
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /MSWSMTP/Common/Authentication/Logon.aspx HTTP/1.1" 404 1031
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /Home.do HTTP/1.1" 404 965
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /xmldata?item=All HTTP/1.1" 404 965
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
